folder,screenscraper_id,mobygames_id,tgdb_id

# Mapping between platform folder and
# - screenscraper system id
# - mobygames platform id
# - thegamesdb platform id
#
# If you need more than one match use the alias property in platforms.json.
# Use supplementary/scraperdata/peas_and_idmap_verify.py to view platform names
# of the ids below. 

### Begin RetroPie OOTB supported systems

3do,29,35,25
ags,138,3,1
amiga,64,19,4911
amstradcpc,65,60,4914
apple2,86,31,4942
arcade,75,143,23
arcadia,94,162,4963
atari2600,26,28,22
atari5200,40,33,26
atari7800,41,34,27
atari800,43,39,4943
atarijaguar,27,17,28
atarilynx,28,18,4924
atarist,42,24,4937
c64,66,27,40
channelf,80,76,4928
coco,144,62,4941
coleco,48,29,31
crvision,241,212,5005
daphne,49,-1,-1
dragon32,91,79,4952
dreamcast,23,8,16
fba,75,143,23
fds,106,22,4936
fm7,97,126,4978
gameandwatch,52,-1,4950
gamegear,21,25,20
gb,9,10,4
gba,12,12,5
gbc,10,11,41
gc,13,14,2
intellivision,115,30,32
love,-1,-1,-1
macintosh,146,74,37
mame,75,143,23
mame-advmame,75,143,23
mame-libretro,75,143,23
mame-mame4all,75,143,23
mastersystem,2,26,35
megadrive,1,16,36
moto,141,147,-1
msx,113,57,4929
n64,14,9,3
nds,15,44,8
neogeo,142,36,24
nes,3,22,7
ngp,25,52,4922
ngpc,82,53,4923
openbor,214,-1,-1
oric,131,111,4986
pc,135,2,1
pc88,221,94,4933
pc98,208,95,4934
pcengine,31,40,34
pcfx,72,-1,4930
pico8,234,103,4958
pokemini,211,152,4957
ports,135,3,1
ps2,58,7,11
psp,61,46,13
psx,57,6,10
samcoupe,213,120,4979
saturn,22,23,17
scummvm,123,-1,-1
sega32x,19,21,33
segacd,20,20,21
sg-1000,109,114,4949
snes,4,15,6
solarus,223,-1,-1
steam,138,-1,-1
stratagus,-1,-1,-1
ti99,205,47,4953
tic80,222,-1,-1
trs-80,144,58,4941
vectrex,102,37,4939
videopac,104,128,4927
virtualboy,11,38,4918
wii,16,82,9
wonderswan,45,48,4925
wonderswancolor,46,49,4926
x1,220,121,4977
x68000,79,106,4931
zmachine,215,169,-1
zx81,77,119,5010
zxspectrum,76,41,4913

### End of RetroPie OOTB supported systems

3ds,17,101,4912
actionmax,81,-1,4976
astrocade,44,160,4968
atarijaguarcd,171,-1,29
atomiswave,53,-1,23
cd32,130,56,4947
cdi,133,73,4917
cdtv,129,83,-1
easyrpg,231,-1,-1
msx2,116,-1,-1
naomi,56,-1,23
neogeocd,70,54,4956
pcenginecd,114,45,4955
plus4,99,115,5007
ps3,59,81,12
ps4,60,141,4919
switch,225,203,4971
vic20,73,43,4945
wiiu,18,132,38
xbox,32,13,14
xbox360,33,69,15
